network	network_description	activation_delay	compute	number_activations	strategy	strategy_description	version	protocol	machine_duration_s	activations	reward	head_time	head_progress	head_height	head_miner	preference	progress	max_uncles	incentive_scheme	head_work	k	head_kind	subblock_selection
two-agents	2 nodes, alpha=0.45, no propagation delays	1.	0.45|0.55	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.192244425	4512|5488	4160.|2157.	9978.81138701	6317.	6317	0								
two-agents	2 nodes, alpha=0.45, no propagation delays	1.	0.45|0.55	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.203883631	4512|5488	4160.|2157.	9978.81138701	6317.	6317	0								
gamma-0.5	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.115500441	1025|4521|4454	666.|4276.|4189.	9799.15673734	9131.	9131	0								
gamma-0.5	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.076749785	994|4593|4413	994.|4593.|4413.	10077.5125224	10000.	10000	1								
gamma-0	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.145006255	1031|4513|4456	1.|4513.|4456.	9800.40268528	8970.	8970	0								
gamma-0.5	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.088239661	967|4605|4428	634.|4361.|4183.	10050.8530016	9178.	9178	0								
gamma-0.5	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.117117108	1024|4521|4455	664.|4275.|4193.	9803.04402435	9132.	9132	0								
gamma-0	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.20425192	1035|4504|4461	0.|4504.|4461.	9810.65191184	8965.	8965	2								
gamma-0	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.196250126	1027|4514|4459	0.|4514.|4459.	9795.43764578	8973.	8973	1								
gamma-0.75	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.1|0.225|0.225|0.225|0.225	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.112809702	1000|2251|2218|2218|2313	854.|2075.|2061.|2054.|2130.	9886.17135014	9174.	9174	1								
gamma-0	1 attacker, alpha=0.1, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.1|0.45|0.45	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.225152089	1025|4478|4497	1.|4478.|4497.	9787.01386942	8976.	8976	0								
gamma-0.75	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.1|0.225|0.225|0.225|0.225	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.117669452	1020|2230|2156|2288|2306	844.|2054.|2002.|2118.|2125.	10021.6192657	9143.	9143	1								
gamma-0.75	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.1|0.225|0.225|0.225|0.225	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.142496856	1000|2248|2215|2228|2309	853.|2071.|2061.|2062.|2126.	9879.81164115	9173.	9173	4								
gamma-0.75	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.1|0.225|0.225|0.225|0.225	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.130230274	1032|2274|2227|2225|2242	1032.|2274.|2227.|2225.|2242.	9904.65930643	10000.	10000	1								
gamma-0.9	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.202135908	999|798|809|842|796|800|862|844|828|785|824|813	930.|731.|746.|766.|728.|733.|791.|763.|766.|714.|754.|736.	9929.57929555	9158.	9158	0								
gamma-0.5	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.108859024	1922|4120|3958	1490.|3650.|3431.	10171.4042657	8571.	8571	0								
gamma-0.5	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.091404679	1987|3985|4028	1521.|3479.|3518.	10124.6148995	8518.	8518	2								
gamma-0.9	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.241784035	997|799|809|840|798|801|862|841|834|785|824|810	926.|733.|746.|765.|729.|737.|792.|759.|772.|715.|755.|733.	9920.24919671	9162.	9162	11								
gamma-0.5	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.065883466	2009|3945|4046	1539.|3426.|3565.	10051.1762274	8530.	8530	1								
gamma-0.9	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.269068178	972|817|816|871|765|837|863|797|823|783|832|824	904.|750.|750.|799.|718.|770.|786.|721.|759.|716.|750.|746.	9920.24534579	9169.	9169	10								
gamma-0.9	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.244025953	1016|797|824|833|798|789|844|837|844|783|832|803	1016.|797.|824.|833.|798.|789.|844.|837.|844.|783.|832.|803.	9995.28656239	10000.	10000	7								
gamma-0	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.205712736	2000|3961|4039	1.|3961.|4037.	10031.4477879	7999.	7999	0								
gamma-0	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.282024461	1924|4103|3973	0.|4103.|3973.	10127.4311277	8076.	8076	2								
gamma-0.75	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.2|0.2|0.2|0.2|0.2	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.114085712	2038|1993|2072|1995|1902	1824.|1674.|1743.|1654.|1584.	10105.654443	8479.	8479	4								
gamma-0.5	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.136707915	2037|3945|4018	2037.|3945.|4016.	10061.5234442	9998.	9998	0								
gamma-0.75	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.2|0.2|0.2|0.2|0.2	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.111980389	1918|2026|2048|2070|1938	1709.|1708.|1719.|1774.|1658.	9846.05409719	8568.	8568	0								
gamma-0	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.287712692	1917|4118|3965	0.|4118.|3965.	10094.7300811	8083.	8083	2								
gamma-0.75	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.2|0.2|0.2|0.2|0.2	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.116506895	2059|2008|2006|1994|1933	1851.|1697.|1688.|1671.|1617.	10056.5320403	8524.	8524	3								
gamma-0.75	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.2|0.2|0.2|0.2|0.2	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.142712499	1985|1976|2033|2101|1905	1985.|1976.|2033.|2101.|1905.	9979.56619764	10000.	10000	3								
gamma-0	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.2|0.4|0.4	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.349379121	1909|4098|3993	2.|4098.|3992.	10102.5957524	8092.	8092	0								
gamma-0.5	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.09216428	2498|3739|3763	2028.|3083.|3088.	9893.01184851	8199.	8199	2								
gamma-0.9	1 attacker, alpha=0.2, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.2|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.210632299	2032|715|730|761|735|661|723|701|773|730|699|740	1949.|588.|603.|630.|615.|542.|595.|576.|639.|583.|568.|598.	10023.0623265	8486.	8486	0								
gamma-0.9	1 attacker, alpha=0.2, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.2|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.249645566	1969|732|775|757|724|685|726|738|733|722|715|724	1886.|623.|645.|634.|611.|564.|591.|610.|618.|563.|587.|591.	10133.2297264	8523.	8523	4								
gamma-0.5	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.125309419	2459|3692|3849	1988.|3050.|3194.	10041.7460819	8232.	8232	1								
gamma-0.9	1 attacker, alpha=0.2, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.2|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.23630777	2004|768|745|759|736|682|734|732|726|693|729|692	2004.|768.|745.|759.|736.|682.|734.|730.|726.|693.|729.|692.	9957.90761528	9998.	9998	2								
gamma-0.9	1 attacker, alpha=0.2, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.2|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273|0.0727272727273	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.24101819	2032|720|747|745|735|702|695|719|752|718|725|710	1938.|606.|623.|618.|620.|588.|559.|585.|629.|564.|599.|588.	10132.6890485	8517.	8517	1								
gamma-0	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.196265856	2531|3693|3776	1.|3693.|3776.	9728.88315885	7470.	7470	0								
gamma-0.5	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.079458146	2550|3633|3817	2550.|3633.|3817.	9759.96713708	10000.	10000	2								
gamma-0.5	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.090934307	2527|3698|3775	2054.|3066.|3138.	9950.41586147	8258.	8258	1								
gamma-0.75	1 attacker, alpha=0.25, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.25|0.1875|0.1875|0.1875|0.1875	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.102599291	2445|1937|1855|1887|1876	2215.|1548.|1482.|1502.|1495.	9934.65052689	8242.	8242	4								
gamma-0	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.296857337	2464|3722|3814	0.|3721.|3814.	10000.421124	7535.	7535	2								
gamma-0.75	1 attacker, alpha=0.25, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.25|0.1875|0.1875|0.1875|0.1875	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.103822091	2443|1869|1892|1900|1896	2443.|1869.|1892.|1900.|1896.	9941.23608126	10000.	10000	0								
gamma-0.75	1 attacker, alpha=0.25, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.25|0.1875|0.1875|0.1875|0.1875	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.112214748	2560|1836|1852|1905|1847	2292.|1469.|1467.|1530.|1472.	9929.89002943	8230.	8230	0								
gamma-0	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.333106299	2544|3743|3713	2.|3743.|3712.	10103.6238649	7457.	7457	0								
gamma-0.75	1 attacker, alpha=0.25, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	1.	0.25|0.1875|0.1875|0.1875|0.1875	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.151738472	2531|1819|1863|1931|1856	2286.|1450.|1461.|1523.|1448.	9949.66453609	8168.	8168	4								
gamma-0	1 attacker, alpha=0.25, 2 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	1.	0.25|0.375|0.375	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.404877811	2554|3762|3684	0.|3762.|3684.	10040.1287531	7446.	7446	2								
gamma-0.9	1 attacker, alpha=0.25, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.25|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.195501915	2577|705|623|658|674|680|717|656|671|726|680|633	2488.|514.|468.|475.|507.|517.|553.|524.|510.|565.|534.|492.	9952.79916479	8147.	8147	0								
gamma-0.9	1 attacker, alpha=0.25, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	1.	0.25|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.224118193	2625|684|640|656|656|666|668|658|666|696|741|644	2528.|519.|474.|485.|491.|488.|512.|507.|507.|531.|572.|503.	9933.69149012	8117.	8117	0								
